2Dmemory	2Dmemory<br>二度半存储器
3270 BSC Support Subsystem	3270 BSC Support Subsystem
3270 device emulation	3270 device emulation<br>3270设备仿真程序
3270 display emulation	3270 display emulation
3270 SNA support subsystem	3270 SNA support subsystem<br>3270 SNA支持子系统
3650 Retail Store System	3650 Retail Store System
4700 Finance Communication System	4700 Finance Communication System<br>4700金融通信系统
5250 emulation	5250 emulation
8100/DPCX system	8100/DPCX system<br>8100/DPCX系统
abbreviated address calling	abbreviated address calling
abbreviated addressing	abbreviated addressing<br>简缩寻址(0法);［缩短定址］
abend	abend
abend recovery program	abend recovery program<br>任务异常终止恢复程序
abnormal condition	abnormal condition
abnormal end of task (abend)	abnormal end of task (abend)<br>任务异常终止;［事务异常终止］
abnormal return	abnormal return
abnormal return address	abnormal return address<br>异常返回地址;［异常转回位址］
abnormal statement	abnormal statement
abnormal termination	abnormal termination<br>异常终止
abort	abort
abort statement	abort statement<br>终止语句
abort timer	abort timer
Abramson code	Abramson code<br>阿布拉姆逊码;［阿布拉门逊码］
absolute address	absolute address
absolute addressing	absolute addressing<br>绝对编址(法);［绝对定址］
absolute assembler	absolute assembler
absolute code	absolute code<br>绝对代码［程序］;［绝对码］
absolute coding	absolute coding
absolute command	absolute command<br>绝对命令
absolute coordinate	absolute coordinate
absolute data	absolute data<br>绝对数据;［绝对资料］
absolute expression	absolute expression
absolute generation number	absolute generation number<br>绝对代号
absolute indexed mode	absolute indexed mode
absolute instruction	absolute instruction<br>绝对指令
absolute language	absolute language
absolute loader	absolute loader<br>绝对装入程序;［绝对馈入常式］
absolute load module	absolute load module
absolute location	absolute location<br>绝对位置
absolute machine code	absolute machine code
absolute mode	absolute mode<br>绝对方式;［绝对模态］
absolute object program	absolute object program
absolute operator	absolute operator<br>绝对操作符;［绝对运算元］
absolute point	absolute point
absolute program	absolute program<br>绝对程序;［绝对程式］
absolute program loader	absolute program loader
absolute programming	absolute programming<br>绝对程序设计(法);［绝对程式规划］
absolute term	absolute term
absolute-value computer	absolute-value computer<br>全值计算机;［绝对值计算机］
absolute vector	absolute vector
abstract machine	abstract machine<br>抽象机;［抽象性机器］
abstract symbol	abstract symbol
abstract syntax	abstract syntax<br>抽象语法
ACB	ACB
ACC	ACC<br>累加器;［累积器］
accelerated life test	accelerated life test
acceleration time	acceleration time<br>加速时间
acceptance criteria	acceptance criteria
acceptance test	acceptance test<br>接收测试［试验］
acceptance testing	acceptance testing
access	access<br>访问,存取;［接达］
access arm	access arm
access authority	access authority<br>存取［访问］权限;［接达权限］
access authorization	access authorization
access barred	access barred<br>禁止访问
access bits	access bits
access channel control	access channel control<br>访问信道控制(程序)
access constraint	access constraint
access context	access context<br>访问上下文
access control	access control
access control register(ACR)	access control register(ACR)<br>存取控制寄存器;［接达控制暂存器］
access cycle	access cycle
access environment	access environment<br>存取环境,访问环境;［接达环境］
access hole	access hole
accessibility	accessibility<br>可接近性,可达性
access line	access line
access matrix model	access matrix model<br>存取矩阵模型
access mechanism	access mechanism
access method	access method<br>存取方法;［接达法］
access method routine	access method routine
access mode	access mode<br>存取方式;［接达模(态)］
accessor	accessor
accessor control	accessor control<br>存取器控制器
access password	access password
access path	access path<br>存取路径; ［接达路径］
access period	access period
access permission	access permission<br>存取许可,存取权限
access port	access port
access priority	access priority<br>访问优先权
access privilege	access privilege
access protocol	access protocol<br>访问协议
access restriction	access restriction
access right	access right<br>存取权;［接达权］
access scan	access scan
access table	access table<br>存取表格;［接达表格］
access time	access time
access violation	access violation<br>访问违例
accesscontrol mechanism	accesscontrol mechanism
accidental destruction	accidental destruction<br>偶然破坏
accidental threat	accidental threat
accordion	accordion<br>插孔
account	account
accountability	accountability<br>责任
accounting	accounting
accounting function	accounting function<br>会计［记帐］程序
accounting language	accounting language
accounting machine	accounting machine<br>会计机
accounting regime	accounting regime
accounting routine	accounting routine<br>计费程序;［会计常式］
account name	account name
account number	account number<br>帐号
